UniProt	Protein	Infected_8h_1	Infected_8h_2	Infected_8h_3	Infected_8h_4	Infected_8h_5	Mock_8h_1	Mock_8h_2	Mock_8h_3	Mock_8h_4	Mock_8h_5	Infected_16h_1	Infected_16h_2	Infected_16h_3	Infected_16h_4	Infected_16h_5	Mock_16h_1	Mock_16h_2	Mock_16h_3	Mock_16h_4	Mock_16h_5	Infected_24h_1	Infected_24h_2	Infected_24h_3	Infected_24h_4	Infected_24h_5	Mock_24h_1	Mock_24h_2	Mock_24h_3	Mock_24h_4	Mock_24h_5
A0A024R1R8	TMA7B_HUMAN	103255920.0	145075024.0	0.0	89302000.0	0.0	0.0	0.0	0.0	0.0	0.0	49253256.0	71578680.0	0.0	57132180.0	61943552.0	68167224.0	0.0	45924792.0	64153624.0	0.0	70745976.0	88086000.0	0.0	127513664.0	0.0	56335352.0	72172728.0	67241152.0	88842576.0	77367536.0
A0A024RBG1	NUD4B_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A0B4J2D5	GAL3B_HUMAN	0.0	0.0	68867640.0	75522536.0	0.0	0.0	41888092.0	52583652.0	0.0	0.0	48621764.0	0.0	51064084.0	71903904.0	71881088.0	0.0	0.0	47782528.0	58740888.0	44037256.0	67285880.0	63476080.0	0.0	59289068.0	65799856.0	39442696.0	49549512.0	50099560.0	51323824.0	52373020.0
A0A0U1RRE5	NBDY_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0AVT1	UBA6_HUMAN	70589248.0	93343448.0	78592104.0	70428256.0	91604880.0	79028608.0	67479688.0	75160488.0	65927432.0	56530340.0	90327216.0	84262488.0	97222072.0	94659632.0	87395768.0	97386504.0	78413344.0	97460368.0	84245264.0	98315008.0	62052540.0	75958648.0	68913272.0	71904064.0	76483776.0	91607432.0	79902664.0	90090856.0	87679400.0	86384720.0
A0FGR8	ESYT2_HUMAN	0.0	0.0	0.0	11509290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22613356.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9384964.0	34017152.0	0.0	0.0	0.0	0.0
A0JNW5	BLT3B_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0MZ66	SHOT1_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1A4S6	RHG10_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1KXE4	F168B_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
